A290 	  	100 	72 	86 	71 	  	82
A291 	  	100 	72 	62 	52 	  	71
A292 	  	100 	58 	92 	71 	  	80
A293 	  	100 	45 	59 	41 	  	61
A294 	  	100 	81 	78 	56 	  	78
A295 	  	100 	74 	81 	67 	  	80
A296 	  	100 	70 	40 	59 	  	67
A297 	  	100 	92 	86 	94 	  	93
A298 	  	88 	45 	33 	41 	  	52
A299 	  	100 	45 	78 	51 	  	68
A300 	  	100 	50 	64 	46 	  	65
A301 	  	100 	80 	91 	59 	  	83
A302 	  	100 	92 	82 	49 	  	80
A303 	  	100 	72 	60 	50 	  	70
A304 	  	100 	45 	31 	59 	  	59
A305 	  	100 	71 	66 	77 	  	78
A306 	  	100 	73 	97 	45 	  	79
A307 	  	88 	54 	42 	39 	  	55
A308 	  	94 	77 	52 		  	55
A309 	  	100 	74 	76 	61 	  	78
A310 	  	100 	60 	66 	57 	  	70
A311 	  	100 	63 	52 	42 	  	64
A312 	  	100 	76 	67 	49 	  	73
A313 	  	100 	59 	83 		  	61
A314 	  	100 	93 	87 	80 	  	90
A315 	  	100 	84 	73 	94 	  	88
A316 	  	100 	57 	71 	72 	  	75
A317 	  	100 	72 	65 	95 	  	83
A318 	  	100 	94 	75 	60 	  	82
A319 	  	100 	74 	89 	96 	  	90
A320 	  	100 	81 	77 	86 	  	86
A321 	  	88 	58 	64 	60 	  	67
A323 	  	100 	90 	73 	71 	  	83
A324 	  	97 	56 	70 	39 	  	66
A325 	  	100 	80 	80 	55 	  	79
A326 	  	100 	66 	65 	89 	  	80
A327 	  	100 	91 	93 	91 	  	94
A328 	  	97 	45 	60 	66 	  	67
A329 	  	100 	62 	83 	72 	  	79
A330 	  	100 	62 	36 	68 	  	66
A331 	  	100 	83 	90 	94 	  	91
A332 	  	100 	50 	40 	55 	  	61
A333 	  	100 	55 	74 	77 	  	76
A334 	  	100 	68 	72 	64 	  	76
A335 	  	100 	76 	54 	54 	  	71
A336 	  	94 	38 	0 	37 	  	42
A337 	  	100 	72 	97 	66 	  	84
A338 	  	88 	56 	53 	39 	  	59
A339 	  	100 	75 	81 	96 	  	88
A340 	  	100 	61 	48 	45 	  	63
A341 	  	100 	74 	62 	52 	  	72
A342 	  	100 	62 	93 	79 	  	83
A343 	  	100 	67 	69 	72 	  	77
A344 	  	100 	98 	97 	99 	  	98
A345 	  	100 	78 	72 	60 	  	77
A346 	  	100 	72 	66 	55 	  	73
A347 	  	100 	88 	98 	93 	  	94
A348 	  	97 	55 	41 	56 	  	62
A349 	  	100 	66 	57 	58 	  	70
A350 	  	38 	50 	53 	37 	  	45
A351 	  	100 	76 	20 	65 	  	65
A352 	  	100 	76 	97 		  	68
A353 	  	78 	56 	37 		  	43
A354 	  	100 	71 	65 	48 	  	71
A355 	  	100 	74 	87 	71 	  	83
A356 	  	100 	75 	60 	79 	  	78
A357 	  	100 	90 	90 	55 	  	83
A358 	  	100 	74 	60 	74 	  	77
